Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
947,-1,0,0.0,190.8640436868,Pocillopora,born,none
948,-1,1,0.0,3.2704569215999997,Pocillopora_dead,born,none
100,-1,2,0.0,1091.0439806903998,Pocillopora,born,none
0,-1,4,0.0,5.492234721599999,Pocillopora_dead,born,none
814,-1,5,0.0,1976.6712731039997,Pocillopora_dead,born,none
1,-1,6,0.0,242.50260331439998,Pocillopora,born,none
3,-1,7,0.0,66.65777755559999,Pocillopora,born,none
815,-1,8,0.0,1116.3278120544,Pocillopora_dead,born,none
949,-1,10,0.0,13.615054358399998,Pocillopora,born,none
950,-1,11,0.0,23.533070457599997,Pocillopora_dead,born,none
632,-1,12,0.0,1951.2941270723998,Pocillopora_dead,born,none
9,-1,13,0.0,133.87988667239998,Pocillopora,born,none
951,-1,14,0.0,1.9818257975999996,Pocillopora_dead,born,none
14,-1,16,0.0,35.872824358799996,Pocillopora,born,none
952,-1,17,0.0,61.04112327719999,Pocillopora_dead,born,none
953,-1,18,0.0,19.5827495292,Pocillopora_dead,born,none
13,-1,19,0.0,288.564500664,Pocillopora,born,none
954,-1,20,0.0,19.8138144204,Pocillopora,born,none
955,-1,21,0.0,14.374902365999999,Pocillopora,born,none
597,-1,23,0.0,334.5419704572,Pocillopora,born,none
21,-1,24,0.0,55.2911623308,Pocillopora,born,none
816,-1,25,0.0,343.18468609919995,Pocillopora_dead,born,none
818,-1,26,0.0,266.53779555479997,Pocillopora_dead,born,none
29,-1,28,0.0,118.354103406,Pocillopora,born,none
814,-1,29,0.0,2.0706969096,Pocillopora_dead,born,none
35,-1,31,0.0,32.171342544,Pocillopora,born,none
956,-1,35,0.0,215.0280990396,Pocillopora_dead,born,none
847,-1,36,0.0,316.35894094199995,Pocillopora_dead,born,none
38,-1,38,0.0,66.00457488240001,Pocillopora,born,none
957,-1,39,0.0,3.1993600319999995,Pocillopora_dead,born,none
958,-1,41,0.0,6.5675751768,Pocillopora,born,none
959,-1,42,0.0,2.399520024,Pocillopora,born,none
960,-1,43,0.0,115.96791404879997,Pocillopora_dead,born,none
961,-1,44,0.0,52.61614185959999,Pocillopora_dead,born,none
962,-1,45,0.0,7.7273431884,Pocillopora_dead,born,none
51,-1,46,0.0,78.66426478679999,Pocillopora,born,none
636,-1,47,0.0,290.57298779519994,Pocillopora,born,none
592,-1,48,0.0,87.2892062064,Pocillopora,born,none
52,-1,50,0.0,18.3385539612,Pocillopora,born,none
963,-1,51,0.0,72.42995628,Pocillopora_dead,born,none
64,-1,52,0.0,164.167161642,Pocillopora,born,none
964,-1,53,0.0,13.2817876884,Pocillopora_dead,born,none
56,-1,55,0.0,3.8436755939999996,Pocillopora,born,none
965,-1,56,0.0,16.729986833999998,Pocillopora_dead,born,none
940,-1,59,0.0,20.1559682016,Pocillopora,born,none
966,-1,60,0.0,100.14885611279999,Pocillopora_dead,born,none
967,-1,62,0.0,18.187473070799996,Pocillopora,born,none
155,-1,63,0.0,241.3917144144,Pocillopora,born,none
968,-1,69,0.0,48.75913559879999,Pocillopora,born,none
969,-1,70,0.0,66.1956477732,Pocillopora_dead,born,none
779,-1,71,0.0,141.5405765268,Pocillopora,born,none
970,-1,72,0.0,2.4795040247999993,Pocillopora_dead,born,none
645,-1,73,0.0,278.0954836704,Pocillopora_dead,born,none
613,-1,75,0.0,82.7701101612,Pocillopora,born,none
46,-1,76,0.0,2.8660933619999995,Pocillopora_dead,born,none
58,-1,77,0.0,84.97411373879999,Pocillopora_dead,born,none
971,-1,79,0.0,2.2262213556,Pocillopora,born,none
941,-1,80,0.0,15.5257832664,Pocillopora,born,none
825,-1,81,0.0,38.6322723864,Pocillopora,born,none
635,-1,82,0.0,93.22135293239998,Pocillopora,born,none
